state,county_fips,county_name,Diabetes_pct,Obesity_pct,Coronary Heart Disease_pct,Asthma_pct,High Blood Pressure_pct,Depression_pct,total_population
IL,01001,IL County 1,12.4,35.1,5.2,9.4,38.1,15.4,503518
IL,01002,IL County 2,10.6,35.9,5.6,11.8,24.6,13.2,624529
IL,01003,IL County 3,12.8,27.4,7.7,7.2,39.0,15.1,420003
IL,01004,IL County 4,15.2,34.9,7.5,10.7,42.8,25.3,134209
IL,01005,IL County 5,10.4,35.4,6.5,8.2,35.3,15.3,450061
IL,01006,IL County 6,10.4,27.1,6.7,7.6,47.0,33.2,197004
IL,01007,IL County 7,15.3,48.4,8.6,9.2,25.8,22.5,624412
IL,01008,IL County 8,13.1,36.9,5.5,7.0,22.0,20.9,623947
IL,01009,IL County 9,9.7,23.2,7.4,8.2,17.8,15.7,172134
IL,01010,IL County 10,12.5,38.4,6.2,6.7,44.0,23.5,83713
IL,01011,IL County 11,9.7,25.0,6.1,14.2,37.2,17.1,750623
IL,01012,IL County 12,9.7,39.5,8.3,9.6,31.6,20.6,496972
IL,01013,IL County 13,11.7,42.6,7.8,7.8,34.2,32.8,83418
IL,01014,IL County 14,5.7,26.2,7.8,10.0,23.0,19.5,136232
IL,01015,IL County 15,6.3,40.9,8.6,9.2,51.6,25.7,528551
CA,02016,CA County 1,9.5,36.4,6.5,9.0,33.0,16.5,171038
CA,02017,CA County 2,8.2,39.8,7.6,11.0,32.9,19.8,938491
CA,02018,CA County 3,11.9,48.6,6.0,11.3,37.8,28.9,176383
CA,02019,CA County 4,8.5,31.0,7.0,8.2,35.8,16.9,826007
CA,02020,CA County 5,7.1,26.8,6.3,8.1,33.8,29.1,333996
CA,02021,CA County 6,15.0,25.7,6.7,8.8,25.7,23.5,266722
CA,02022,CA County 7,10.4,26.3,7.5,4.0,35.8,17.2,140079
CA,02023,CA County 8,11.2,32.4,5.2,5.9,47.1,23.2,210053
CA,02024,CA County 9,7.1,35.8,9.9,12.7,42.8,24.9,608530
CA,02025,CA County 10,9.5,35.3,4.9,13.4,44.7,23.1,186589
CA,02026,CA County 11,11.3,39.8,4.5,8.9,27.9,12.1,511238
CA,02027,CA County 12,7.8,33.1,8.4,10.9,24.1,16.4,37257
CA,02028,CA County 13,12.0,45.0,7.8,10.2,31.0,18.8,488488
CA,02029,CA County 14,9.3,30.8,7.5,16.8,32.4,19.6,443423
CA,02030,CA County 15,10.2,55.4,7.5,12.2,40.8,23.1,152353
TX,03031,TX County 1,9.3,38.2,6.5,9.2,18.5,20.9,331390
TX,03032,TX County 2,16.1,25.9,5.0,7.2,44.2,13.3,271579
TX,03033,TX County 3,11.0,24.2,6.6,5.7,30.7,21.9,237947
TX,03034,TX County 4,8.1,37.0,5.4,10.0,28.6,23.1,239758
TX,03035,TX County 5,13.3,31.2,8.1,7.7,23.9,22.8,623645
TX,03036,TX County 6,7.6,38.9,6.3,6.1,18.8,25.4,165732
TX,03037,TX County 7,11.6,36.9,5.2,8.0,38.6,24.2,930588
TX,03038,TX County 8,5.6,32.4,6.0,6.9,32.6,22.3,939011
TX,03039,TX County 9,7.3,26.0,7.2,13.5,21.7,19.6,735955
TX,03040,TX County 10,11.5,20.5,5.6,11.6,21.6,11.7,616095
TX,03041,TX County 11,13.0,29.3,5.2,9.5,29.3,22.1,446755
TX,03042,TX County 12,11.5,40.1,6.9,13.0,45.4,21.0,910385
TX,03043,TX County 13,10.7,34.8,6.9,9.7,29.9,21.4,146563
TX,03044,TX County 14,10.2,22.7,5.7,7.5,20.0,13.6,791066
TX,03045,TX County 15,6.9,34.4,5.7,13.1,30.0,14.6,514047
